,stock_id,stock_name
167,00185,ZENSUN ENTERPRISES LIMITED
168,00186,NIMBLE HOLDINGS COMPANY LIMITED
169,00187,BEIJING JINGCHENG MACHINERY ELECTRIC COMPANY LIMITED
170,00188,SUNWAH KINGSWAY CAPITAL HOLDINGS LIMITED
171,00189,DONGYUE GROUP LIMITED
172,00191,LAI SUN GARMENT (INTERNATIONAL) LIMITED
173,00193,CAPITAL ESTATE LIMITED
174,00194,LIU CHONG HING INVESTMENT LTD
175,00195,GREENTECH TECHNOLOGY INTERNATIONAL LIMITED
176,00196,HONGHUA GROUP LIMITED
177,00197,HENG TAI CONSUMABLES GROUP LIMITED
178,00199,ITC PROPERTIES GROUP LIMITED
179,00200,MELCO INTERNATIONAL DEVELOPMENT LIMITED
180,00201,MAGNIFICENT HOTEL INVESTMENTS LIMITED
181,00202,EVERCHINA INT'L HOLDINGS COMPANY LIMITED
182,00204,CHINA INVESTMENT DEVELOPMENT LIMITED
183,00205,SEEC MEDIA GROUP LIMITED
184,00206,"CMIC OCEAN EN-TECH HOLDING CO., LTD."
185,00207,JOY CITY PROPERTY LIMITED
186,00209,WINSHINE SCIENCE COMPANY LIMITED
187,00210,DAPHNE INTERNATIONAL HOLDINGS LIMITED
188,00211,STYLAND HOLDINGS LIMITED
189,00212,NANYANG HOLDINGS LIMITED
190,00213,NATIONAL ELECTRONICS HOLDINGS LTD
191,00214,ASIA ORIENT HOLDINGS LIMITED
192,00215,HUTCHISON TELECOMMUNICATIONS HONG KONG HOLDINGS LIMITED
193,00216,CHINNEY INVESTMENTS LTD
194,00217,CHINA CHENGTONG DEVELOPMENT GROUP LIMITED
195,00218,SHENWAN HONGYUAN (H.K.) LIMITED
196,00219,SHUN HO PROPERTY INVESTMENTS LIMITED
197,00220,UNI-PRESIDENT CHINA HOLDINGS LTD.
198,00222,MIN XIN HOLDINGS LIMITED
199,00223,ELIFE HOLDINGS LIMITED
200,00224,PIONEER GLOBAL GROUP LIMITED
201,00225,POKFULAM DEVELOPMENT CO. LTD
202,00226,LIPPO LIMITED
203,00227,FIRST SHANGHAI INVESTMENTS LIMITED
204,00228,CHINA ENERGY DEVELOPMENT HOLDINGS LTD
205,00229,RAYMOND INDUSTRIAL LIMITED
206,00230,MINMETALS LAND LIMITED
207,00231,PING AN SECURITIES GROUP (HOLDINGS) LIMITED
208,00232,CONTINENTAL AEROSPACE TECHNOLOGIES HOLDING LIMITED
209,00234,NEW CENTURY GROUP HONG KONG LIMITED
210,00235,CHINA STRATEGIC HOLDINGS LIMITED
211,00236,SAN MIGUEL BREWERY HONG KONG LIMITED
212,00237,SAFETY GODOWN CO. LTD
213,00239,PAK FAH YEOW INTERNATIONAL LIMITED
214,00240,BUILD KING HOLDINGS LIMITED
215,00241,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED
216,00242,SHUN TAK HOLDINGS LIMITED
217,00243,QPL INTERNATIONAL HOLDINGS LIMITED
218,00244,"THE SINCERE COMPANY, LIMITED"
219,00245,CHINA VERED FINANCIAL HOLDING CORPORATION LIMITED
220,00247,TSIM SHA TSUI PROPERTIES LTD
221,00248,HKC INTERNATIONAL HOLDINGS LIMITED
222,00250,SINO-I TECHNOLOGY LIMITED
223,00251,SEA HOLDINGS LIMITED
224,00252,SOUTHEAST ASIA PROPERTIES & FINANCE LTD
225,00253,SHUN HO HOLDINGS LIMITED
226,00254,NATIONAL UNITED RESOURCES HOLDINGS LIMITED
227,00255,LUNG KEE (BERMUDA) HOLDINGS LIMITED
228,00256,CITYCHAMP WATCH & JEWELLERY GROUP LIMITED
229,00257,CHINA EVERBRIGHT ENVIRONMENT GROUP LIMITED
230,00258,TOMSON GROUP LIMITED
231,00259,YEEBO (INTERNATIONAL HOLDINGS) LIMITED
232,00260,AVIC JOY HOLDINGS (HK) LIMITED
233,00261,GBA HOLDINGS LIMITED-NEW
234,00262,DESON DEVELOPMENT INTERNATIONAL HOLDINGS LIMITED
235,00263,GT GROUP HOLDINGS LIMITED
236,00264,CHINA INTERNATIONAL DEVELOPMENT CORPORATION LIMITED
237,00265,ORIENT VICTORY TRAVEL GROUP COMPANY LTD
238,00266,TIAN TECK LAND LTD
239,00267,CITIC LIMITED
240,00268,KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED
241,00269,CHINA RESOURCES AND TRANSPORTATION GROUP LIMITED
242,00270,GUANGDONG INVESTMENT LIMITED
243,00271,ASIASEC PROPERTIES LIMITED
244,00272,SHUI ON LAND LIMITED
245,00273,MASON GROUP HOLDINGS LIMITED
246,00274,RENAISSANCE ASIA SILK ROAD GROUP LIMITED
247,00276,MONGOLIA ENERGY CORPORATION LIMITED
248,00277,TERN PROPERTIES CO. LTD
249,00278,WAH HA REALTY CO. LTD
250,00279,ARTA TECHFIN CORPORATION LIMITED
251,00280,KING FOOK HOLDINGS LTD
252,00282,NEXT DIGITAL LIMITED
253,00285,BYD ELECTRONIC (INTERNATIONAL) COMPANY LIMITED
254,00286,AIDIGONG MATERNAL & CHILD HEALTH LIMITED
255,00287,WINFAIR INVESTMENT CO. LTD
256,00288,WH GROUP LIMITED
257,00289,WING ON COMPANY INTERNATIONAL LIMITED
258,00290,CHINA FORTUNE FINANCIAL GROUP LIMITED
259,00291,CHINA RESOURCES BEER (HOLDINGS) COMPANY LIMITED
260,00292,ASIA STANDARD HOTEL GROUP LIMITED
261,00293,CATHAY PACIFIC AIRWAYS LTD
262,00294,YANGTZEKIANG GARMENT LIMITED
263,00295,KONG SUN HOLDINGS LIMITED
